"id", "title", "year", "downloadsCount" 
"1","Bikini Model Academy","2015","121820"
"2","+1","2013","142402"
"3","10 Things I Hate About You","1999","168261"
"4","10 Years","2011","36550"
"5","100 Bloody Acres","2012","46799"
"6","10,000 BC","2008","74000"
"7","101 Dalmatians II: Patch's London Adventure","2003","77544"
"8","11/11/11","2011","43575"
"9","12 Years a Slave","2013","677615"
"10","13","2010","234190"
"11","13 Eerie","2013","31805"
"12","13 Sins","2014","232852"
"13","13/13/13","2013","61873"
"14","1408","2007","148909"
"15","16 Blocks","2006","41542"
"16","17 Again","2009","145009"
"17","1776","1972","24506"
"18","1941","1979","27361"
"19","1969","1988","51252"
"20","Nineteen Eighty-Four","1984","75478"
"21","2 Fast 2 Furious","2003","371318"
"22","2 Guns","2013","613259"
"23","20,000 Days on Earth","2014","63341"
"24","2001: A Space Odyssey","1968","230344"
"25","2012","2009","196511"
"26","2047: Sights of Death","2014","72240"
"27","21","2008","159827"
"28","21 Grams","2003","104327"
"29","21 Jump Street","2012","436467"
"30","21 & Over","2013","303152"
"31","L'immortel","2010","68940"
"32","22 Jump Street","2014","955723"
"33","247°F","2011","45291"
"34","27 Dresses","2008","82963"
"35","28 Days Later...","2002","225791"
"36","28 Weeks Later","2007","190788"
"37","3 Days to Kill","2014","490206"
"38","3 Geezers!","2013","58226"
"39","3 Women","1977","23301"
"40","30 Days of Night","2007","56712"
"41","30 Days of Night: Dark Days","2010","41353"
"42","30 Minutes or Less","2011","80584"
"43","30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo","2013","104669"
"44","300","2006","342614"
"45","300: Rise of an Empire","2014","746718"
"46","3:10 to Yuma","2007","155397"
"47","360","2011","36237"
"48","40 Days and 40 Nights","2002","57148"
"49","40 Days and Nights","2012","99857"
"50","42","2013","175106"
"51","42nd Street","1933","23190"
"52","47 Ronin","2013","637779"
"53","48 Hrs.","1982","57304"
"54","50 First Dates","2004","143732"
"55","(500) Days of Summer","2009","259097"
"56","50/50","2011","193258"
"57","55 and Older","2013","18856"
"58","55 Days at Peking","1963","20877"
"59","6 Bullets","2012","63295"
"60","6 Souls","2010","41490"
"61","'71","2014","482340"
"62","8 Mile","2002","216901"
"63","88 Minutes","2007","35318"
"64","9","2009","213667"
"65","96 Minutes","2011","40764"
"66","A Beautiful Mind","2001","298222"
"67","A Boy and His Dog","1975","30128"
"68","A Brief History of Time","1991","81756"
"69","A Brilliant Young Mind","2014","232644"
"70","A Bronx Tale","1993","115087"
"71","A Brony Tale","2014","21303"
"72","A Bug's Life","1998","236252"
"73","A Case of You","2013","121343"
